iter	Passed	Remaining
412	3718	5285
413	3725	5272
414	3738	5270
415	3748	5261
416	3756	5252
417	3766	5243
418	3772	5230
419	3783	5224
420	3790	5213
421	3799	5204
422	3814	5202
423	3822	5192
424	3831	5183
425	3840	5174
426	3853	5171
427	3864	5164
428	3877	5161
429	3885	5150
430	3895	5143
431	3903	5132
432	3928	5144
433	3936	5134
434	3944	5123
435	3951	5111
436	3960	5102
437	3967	5090
438	3974	5078
439	3982	5068
440	3991	5059
441	3997	5046
442	4009	5041
443	4016	5029
444	4025	5020
445	4032	5008
446	4037	4994
447	4053	4993
448	4061	4983
449	4073	4978
450	4080	4966
451	4089	4958
452	4098	4949
453	4109	4941
454	4115	4929
455	4123	4919
456	4131	4909
457	4142	4902
458	4151	4892
459	4160	4884
460	4170	4875
461	4175	4862
462	4184	4853
463	4196	4847
464	4205	4838
465	4213	4828
466	4224	4821
467	4230	4809
468	4239	4800
469	4250	4792
470	4258	4782
471	4267	4773
472	4279	4768
473	4289	4760
474	4295	4748
475	4306	4741
476	4316	4733
477	4325	4723
478	4335	4715
479	4344	4706
480	4356	4700
481	4367	4693
482	4375	4683
483	4385	4675
484	4399	4671
485	4406	4660
486	4411	4647
487	4419	4636
488	4428	4627
489	4435	4616
490	4446	4609
491	4454	4598
492	4464	4590
493	4479	4588
494	4486	4577
495	4500	4573
496	4509	4564
497	4517	4553
498	4523	4541
499	4533	4533
500	4540	4521
501	4547	4511
502	4553	4498
503	4564	4492
504	4575	4484
505	4582	4473
506	4587	4460
507	4598	4453
508	4611	4448
509	4619	4438
510	4630	4431
511	4643	4426
512	4657	4421
513	4663	4409
514	4669	4397
515	4680	4389
516	4689	4381
517	4698	4371
518	4707	4363
519	4714	4351
520	4722	4341
521	4730	4331
522	4740	4323
523	4749	4314
524	4761	4307
525	4770	4299
526	4779	4289
527	4791	4282
528	4798	4272
529	4807	4263
530	4815	4252
531	4823	4243
532	4830	4232
533	4839	4223
534	4848	4213
535	4859	4206
536	4870	4199
537	4883	4193
538	4892	4184
539	4901	4175
540	4912	4167
541	4921	4158
542	4928	4147
543	4938	4139
544	4946	4129
545	4957	4122
546	4967	4113
547	4975	4104
548	4989	4098
549	4999	4090
550	5015	4087
551	5024	4077
552	5033	4068
553	5041	4058
554	5048	4047
555	5055	4037
556	5065	4028
557	5073	4018
558	5084	4010
559	5096	4004
560	5105	3995
561	5116	3987
562	5123	3977
563	5134	3969
564	5142	3959
565	5152	3950
566	5161	3941
567	5171	3932
568	5181	3925
569	5189	3914
570	5196	3904
571	5204	3894
572	5213	3885
573	5222	3875
574	5232	3867
575	5237	3855
576	5248	3847
577	5258	3839
578	5266	3829
579	5275	3820
580	5283	3810
581	5291	3800
582	5299	3790
583	5309	3782
584	5316	3771
585	5326	3763
586	5332	3751
587	5338	3740
588	5344	3729
589	5357	3722
590	5363	3711
591	5372	3702
592	5380	3692
593	5390	3684
594	5399	3675
595	5408	3666
596	5415	3655
597	5423	3645
598	5430	3635
599	5438	3625
600	5446	3615
601	5456	3607
602	5466	3599
603	5479	3592
604	5488	3583
605	5497	3574
606	5508	3566
607	5518	3557
608	5527	3548
609	5540	3542
610	5548	3532
611	5556	3522
612	5565	3513
613	5577	3506
614	5589	3499
615	5594	3487
616	5604	3479
617	5612	3469
618	5625	3462
619	5636	3454
620	5645	3445
621	5656	3437
622	5669	3430
623	5677	3421
624	5690	3414
625	5696	3403
626	5704	3393
627	5712	3383
628	5724	3376
629	5733	3367
630	5743	3358
631	5750	3348
632	5762	3340
633	5783	3338
634	5801	3334
635	5825	3333
636	5836	3325
637	5843	3315
638	5851	3306
639	5859	3295
640	5872	3289
641	5887	3283
642	5901	3276
643	5913	3269
644	5922	3259
645	5935	3252
646	5942	3241
647	5950	3232
648	5957	3222
649	5965	3212
650	5971	3201
651	5981	3192
652	5988	3182
653	5997	3172
654	6006	3163
655	6015	3154
656	6023	3144
657	6039	3138
658	6048	3129
659	6056	3120
660	6065	3110
661	6073	3101
662	6083	3092
663	6093	3083
664	6105	3075
665	6113	3066
666	6120	3055
667	6129	3046
668	6138	3037
669	6151	3029
670	6165	3022
671	6177	3015
672	6184	3005
673	6197	2997
674	6205	2987
675	6215	2978
676	6226	2970
677	6233	2960
678	6241	2950
679	6249	2941
680	6258	2931
681	6266	2922
682	6277	2913
683	6290	2906
684	6299	2896
685	6308	2887
686	6316	2877
687	6323	2867
688	6334	2859
689	6345	2850
690	6354	2841
691	6364	2832
692	6376	2824
693	6389	2817
694	6396	2807
695	6406	2798
696	6419	2790
697	6432	2782
698	6439	2773
699	6447	2763
700	6457	2754
701	6465	2744
702	6476	2736
703	6486	2727
704	6497	2718
705	6507	2709
706	6523	2703
707	6538	2696
708	6545	2686
709	6557	2678
710	6569	2670
711	6577	2660
712	6587	2651
713	6595	2641
714	6601	2631
715	6609	2621
716	6622	2613
717	6634	2605
718	6641	2595
719	6650	2586
720	6656	2575
721	6668	2567
722	6673	2556
723	6681	2547
724	6688	2537
725	6698	2528
726	6704	2517
727	6713	2508
728	6727	2500
729	6738	2492
730	6752	2484
731	6759	2474
732	6768	2465
733	6779	2456
734	6787	2447
735	6792	2436
736	6805	2428
737	6818	2420
738	6832	2413
739	6844	2404
740	6853	2395
741	6863	2386
742	6871	2376
743	6881	2367
744	6887	2357
745	6899	2349
746	6905	2338
747	6914	2329
748	6923	2320
749	6932	2310
750	6938	2300
751	6945	2290
752	6954	2281
753	6964	2272
754	6971	2262
755	6979	2252
756	6988	2243
757	6996	2233
758	7008	2225
759	7017	2215
760	7027	2207
761	7035	2197
762	7045	2188
763	7047	2177
764	7057	2168
765	7067	2158
766	7077	2149
767	7085	2140
768	7094	2131
769	7102	2121
770	7112	2112
771	7122	2103
772	7130	2093
773	7140	2084
774	7149	2075
775	7160	2066
776	7167	2057
777	7180	2048
778	7189	2039
779	7199	2030
780	7212	2022
781	7223	2013
782	7229	2003
783	7236	1993
784	7244	1984
785	7252	1974
786	7260	1965
787	7273	1956
788	7284	1948
789	7293	1938
790	7302	1929
791	7307	1919
792	7315	1909
793	7324	1900
794	7330	1890
795	7341	1881
796	7352	1872
797	7358	1862
798	7367	1853
799	7377	1844
800	7389	1835
801	7400	1827
802	7411	1818
803	7422	1809
804	7436	1801
805	7442	1791
806	7450	1781
807	7459	1772
808	7467	1762
809	7476	1753
810	7487	1744
811	7499	1736
812	7506	1726
813	7513	1716
814	7524	1707
815	7535	1699
816	7547	1690
817	7556	1681
818	7563	1671
819	7569	1661
820	7574	1651
821	7583	1642
822	7591	1632
823	7601	1623
824	7611	1614
825	7619	1605
826	7629	1596
827	7637	1586
828	7648	1577
829	7656	1568
830	7666	1559
831	7677	1550
832	7689	1541
833	7697	1532
834	7706	1522
835	7713	1513
836	7720	1503
837	7731	1494
838	7738	1485
839	7750	1476
840	7758	1466
841	7765	1457
842	7774	1447
843	7782	1438
844	7791	1429
845	7801	1420
846	7810	1410
847	7818	1401
848	7824	1391
849	7833	1382
850	7841	1372
851	7852	1363
852	7859	1354
853	7867	1344
854	7874	1335
855	7883	1326
856	7892	1317
857	7900	1307
858	7905	1297
859	7911	1287
860	7922	1279
861	7936	1270
862	7950	1262
863	7960	1253
864	7973	1244
865	7982	1235
866	7988	1225
867	7997	1216
868	8005	1206
869	8017	1198
870	8027	1188
871	8033	1179
872	8041	1169
873	8050	1160
874	8056	1150
875	8066	1141
876	8077	1132
877	8085	1123
878	8096	1114
879	8105	1105
880	8114	1096
881	8124	1086
882	8130	1077
883	8143	1068
884	8151	1059
885	8162	1050
886	8170	1040
887	8179	1031
888	8187	1022
889	8196	1013
890	8203	1003
891	8209	993
892	8215	984
893	8225	975
894	8235	966
895	8243	956
896	8253	947
897	8261	938
898	8272	929
899	8278	919
900	8291	911
901	8301	901
902	8310	892
903	8320	883
904	8328	874
905	8337	865
906	8346	855
907	8356	846
908	8368	837
909	8378	828
910	8386	819
911	8392	809
912	8406	801
913	8412	791
914	8420	782
915	8428	772
916	8441	764
917	8455	755
918	8463	745
919	8472	736
920	8482	727
921	8488	718
922	8494	708
923	8501	699
924	8512	690
925	8523	681
926	8533	672
927	8540	662
928	8547	653
929	8556	644
930	8565	634
931	8571	625
932	8578	616
933	8587	606
934	8597	597
935	8605	588
936	8611	578
937	8618	569
938	8624	560
939	8634	551
940	8642	541
941	8648	532
942	8662	523
943	8670	514
944	8680	505
945	8694	496
946	8702	487
947	8711	477
948	8717	468
949	8730	459
950	8739	450
951	8752	441
952	8762	432
953	8772	422
954	8782	413
955	8789	404
956	8796	395
957	8804	386
958	8814	376
959	8821	367
960	8832	358
961	8842	349
962	8853	340
963	8868	331
964	8874	321
965	8879	312
966	8884	303
967	8890	293
968	8895	284
969	8899	275
970	8905	265
971	8910	256
972	8915	247
973	8919	238
974	8928	228
975	8932	219
976	8938	210
977	8943	201
978	8947	191
979	8967	183
980	8974	173
981	8978	164
982	8983	155
983	8989	146
984	8994	136
985	8998	127
986	9004	118
987	9009	109
988	9014	100
989	9019	91
990	9024	81
991	9029	72
992	9033	63
993	9044	54
994	9049	45
995	9056	36
996	9060	27
997	9065	18
998	9072	9
999	9077	0
