iter	Logloss
0	0.6899247784
1	0.6854908306
2	0.6823601241
3	0.6789655428
4	0.6757966762
5	0.6725321694
6	0.6695590607
7	0.6669283975
8	0.6637163778
9	0.6606101953
10	0.6576424449
11	0.6551105434
12	0.6518041681
13	0.6492459764
14	0.6456768811
15	0.6432027281
16	0.6393777644
17	0.6370684538
18	0.6347583506
19	0.6317678518
20	0.6291551967
21	0.6255278025
22	0.622787425
23	0.6205788418
24	0.617378029
25	0.6153472418
26	0.6128238581
27	0.6104973585
28	0.6086659162
29	0.6068876275
30	0.6038810626
31	0.6004824963
32	0.5986405338
33	0.5966949219
34	0.5949539808
35	0.5933162713
36	0.5912222305
37	0.5878595712
38	0.5861425679
39	0.5843849911
40	0.5812090716
41	0.5795054047
42	0.5765888705
43	0.5736143522
44	0.5715049866
45	0.5684203809
46	0.5664321698
47	0.5649570797
48	0.5635303455
49	0.5608264326
50	0.5592362807
51	0.5574133051
52	0.5559632872
53	0.554824708
54	0.5534798877
55	0.5518324763
56	0.5501434259
57	0.5486911352
58	0.5469429856
59	0.5452876752
60	0.5438314241
61	0.5418856045
62	0.5396339638
63	0.5379936719
64	0.535485416
65	0.5341798085
66	0.5329607362
67	0.5306226643
68	0.529277614
69	0.5278633655
70	0.5263187195
71	0.5246969255
72	0.5234015706
73	0.5209885516
74	0.5195677794
75	0.5184991114
76	0.5166463625
77	0.5150214936
78	0.5134748428
79	0.5121310564
80	0.511072592
81	0.5101956721
82	0.5091596689
83	0.5079008212
84	0.506967913
85	0.5061620493
86	0.5043285455
87	0.5025159121
88	0.5013582665
89	0.4995015086
90	0.4979178333
91	0.4971549306
92	0.4955965274
93	0.4945954463
94	0.492784126
95	0.4914680686
96	0.4903548426
97	0.4890925022
98	0.4881093281
99	0.4866913838
100	0.4849202215
101	0.4840715495
102	0.4824925837
103	0.4817281265
104	0.4811059467
105	0.4800595607
106	0.4786346317
107	0.4775938783
108	0.4768043965
109	0.4762125035
110	0.4748672197
111	0.4736337563
112	0.472678124
113	0.4719297556
114	0.4707913915
115	0.4700714144
116	0.4694952458
117	0.4685763894
118	0.4673528788
119	0.4661591383
120	0.4653004465
121	0.4642211537
122	0.4630316087
123	0.4624280737
124	0.4613766936
125	0.4607295806
126	0.460258866
127	0.4585282647
128	0.4583570914
129	0.457408011
130	0.4559753935
131	0.4552936738
132	0.4541521362
133	0.4535937463
134	0.4528486841
135	0.4517840696
136	0.4512479317
137	0.450047691
138	0.4494436613
139	0.4484300103
140	0.4475601071
141	0.4469328949
142	0.4461952878
143	0.4455648508
144	0.4443166845
145	0.4435112576
146	0.4426036255
147	0.4419971023
148	0.4414276874
149	0.4409912288
150	0.4397751413
151	0.4391558223
152	0.4381867826
153	0.4370896961
154	0.4365588619
155	0.4353182707
156	0.4346490093
157	0.4342012844
158	0.4331786965
159	0.4323682341
160	0.4315321699
161	0.4308726328
162	0.4299456345
163	0.4294266648
164	0.4284765275
165	0.4278545056
166	0.4267415255
167	0.4259213203
168	0.4253037007
169	0.4240983263
170	0.4229292851
171	0.4223808865
172	0.4219520415
173	0.4210855432
174	0.4202715988
